1308.07,-1.9627,741.125,54.8684,13.4993,91.8707
1308.94,0.5946,740.478,54.8697,13.4998,91.87
1309.81,3.1432,739.825,54.8685,13.4993,91.8704
1310.68,5.6982,739.172,54.8693,13.4997,91.8701
1311.55,8.2483,738.521,54.8685,13.4994,91.8703
1312.43,10.8049,737.874,54.8696,13.4998,91.8697
1313.29,13.3533,737.217,54.8685,13.4997,91.8701
1314.16,15.9089,736.57,54.8692,13.4996,91.8697
1315.04,18.462,735.918,54.8694,13.4993,91.8698
1315.9,21.0149,735.262,54.8696,13.4997,91.8701
1316.77,23.5617,734.614,54.868,13.4988,91.8704
1317.65,26.1211,733.96,54.8699,13.4998,91.87
1318.51,28.6702,733.308,54.8689,13.4992,91.8703
1319.39,31.2239,732.656,54.8692,13.4995,91.87
1320.26,33.7765,732.009,54.8691,13.4995,91.8697
1321.13,36.3288,731.354,54.869,13.4995,91.87
1322,38.8805,730.701,54.8688,13.4994,91.8701
1322.87,41.4356,730.048,54.8696,13.4994,91.87
1323.74,43.9852,729.395,54.8689,13.4993,91.8706
1324.61,46.5405,728.749,54.8695,13.4994,91.8699
1325.48,49.0909,728.095,54.8689,13.4988,91.8699
1326.35,51.6456,727.447,54.8695,13.499,91.8696
1327.22,54.1991,726.791,54.8699,13.4992,91.8698
1328.09,56.7507,726.143,54.8695,13.4994,91.8697
1328.96,59.3041,725.489,54.8698,13.4997,91.8699
1329.83,61.8538,724.838,54.8689,13.4992,91.87
1330.7,64.4074,724.184,54.8692,13.4991,91.87
1331.57,66.9577,723.529,54.8687,13.4992,91.8702
1332.44,69.5127,722.881,54.8693,13.4992,91.87
1333.31,72.0674,722.23,54.8699,13.4993,91.8698
1334.18,74.6185,721.581,54.8694,13.4989,91.8698
1335.06,77.1729,720.929,54.8699,13.4993,91.8695
1335.92,79.7184,720.275,54.868,13.4984,91.8703
1336.8,82.277,719.623,54.8697,13.4994,91.8697
1337.66,84.8234,718.97,54.868,13.4989,91.8704
1338.54,87.381,718.324,54.8693,13.4989,91.8697
1339.41,89.936,717.67,54.87,13.4994,91.8695
1340.28,92.4859,717.016,54.8694,13.4992,91.87
1341.15,95.0401,716.366,54.8698,13.4995,91.8698
1342.01,97.588,715.711,54.8685,13.4987,91.8704
1342.89,100.143,715.06,54.869,13.4991,91.8698
1343.76,102.696,714.409,54.8692,13.499,91.8698
1344.63,105.247,713.757,54.8688,13.4987,91.87
1345.5,107.802,713.106,54.8696,13.4995,91.8698
1346.37,110.352,712.451,54.8688,13.4994,91.8701
1347.24,112.905,711.8,54.869,13.4991,91.8699
1348.11,115.462,711.149,54.8702,13.4995,91.8698
1348.98,118.013,710.499,54.8696,13.4989,91.8699
1349.85,120.563,709.841,54.8691,13.4987,91.8702
1350.72,123.117,709.193,54.8694,13.4987,91.8699
